target,fold,r2,mae,n_val_rows
hysteresis_window_V,1,0.9324746963956153,0.0712885232413914,996
hysteresis_window_V,2,0.9319960020174906,0.06894406354160784,992
hysteresis_window_V,3,0.9363912937977609,0.06870182234050722,992
hysteresis_window_V,4,0.922401693937342,0.07377017888792722,996
hysteresis_window_V,5,0.9221356547770755,0.07500730819260569,992
log10_on_off_ratio,1,0.9900764601933285,0.047653601537063404,996
log10_on_off_ratio,2,0.9845311109972086,0.05171728434174089,992
log10_on_off_ratio,3,0.9814107748126601,0.05431876863063267,992
log10_on_off_ratio,4,0.9881666048437735,0.05048759259095418,996
log10_on_off_ratio,5,0.9851165208427314,0.05208105305304297,992
log10_retention_tau_s,1,0.9706247121387087,0.4234194947895402,996
log10_retention_tau_s,2,0.9819402709575544,0.3845786555085819,992
log10_retention_tau_s,3,0.9814151671527025,0.4042961150682853,992
log10_retention_tau_s,4,0.971649660869968,0.41017528109505247,996
log10_retention_tau_s,5,0.9707976660454155,0.44604667763518197,992
