feature,importance_mean,importance_std
log10_Nt,1.0410900592803956,0.03476099375579578
Vmax_V,0.6321898400783539,0.020264180612112916
dE_LUMO_eV,0.19127074480056763,0.009688244960162977
dE_HOMO_eV,0.18214409351348876,0.008656943350236273
eps_shell,0.10309134721755982,0.0067192258343404905
band_align_Type_I_straddling_shell_confines_core,0.061975836753845215,0.006189749945277266
Nt_cm3,0.0321984589099884,0.0025835691884476884
exp_dE_LUMO,0.021266448497772216,0.0019198177434419654
band_align_Type_III_broken_gap,0.02002488970756531,0.002188482108735384
band_align_Type_II_staggered,0.011316519975662232,0.0014087756394520086
core_radius_nm,0.007725304365158081,0.0015601681025835831
exp_dE_HOMO,0.0046046853065490724,0.0011052959806973686
shell_thick_nm,0.0011836946010589599,0.0014214807366524633
band_align_Type_I_straddling_core_confines_shell,0.0,0.0
