seed,is_development_seed,target,r2,mae
0,False,hysteresis_window_V,0.9018798096385814,0.0835160039709237
0,False,log10_on_off_ratio,0.9372664226996384,0.08604171983340762
0,False,log10_retention_tau_s,0.8136109788703425,1.2979439630770975
1,False,hysteresis_window_V,0.894745029363971,0.08244795867252278
1,False,log10_on_off_ratio,0.9153297825470733,0.09941998570166974
1,False,log10_retention_tau_s,0.8859267897912975,1.1272062376979692
2,False,hysteresis_window_V,0.8962971586588963,0.08738375452651563
2,False,log10_on_off_ratio,0.9053184527198217,0.11565436044135118
2,False,log10_retention_tau_s,0.354717163747409,2.5547496555551055
3,False,hysteresis_window_V,0.9353632547102556,0.07392890416693877
3,False,log10_on_off_ratio,0.979689236041463,0.05923996180871493
3,False,log10_retention_tau_s,0.8221553170003048,0.9978574494431355
4,False,hysteresis_window_V,0.8882457560660136,0.0820610607733222
4,False,log10_on_off_ratio,0.9004878289780536,0.11604480537203624
4,False,log10_retention_tau_s,0.3944800230112946,2.7163999855177154
5,False,hysteresis_window_V,0.917834591912595,0.08266333544917459
5,False,log10_on_off_ratio,0.9543402783054229,0.08862995401387155
5,False,log10_retention_tau_s,0.8261738733616135,1.1183783240436225
6,False,hysteresis_window_V,0.8809509013228534,0.10009611865249378
6,False,log10_on_off_ratio,0.9514612479725014,0.08579029021155352
6,False,log10_retention_tau_s,0.7921991088528559,1.5119511848200602
7,False,hysteresis_window_V,0.8884267595444533,0.08362591139061326
7,False,log10_on_off_ratio,0.9269263685942238,0.09206061753040644
7,False,log10_retention_tau_s,0.9093519634736351,0.9184607677474792
8,False,hysteresis_window_V,0.9266357772496835,0.07094082326796208
8,False,log10_on_off_ratio,0.978877797121891,0.061836139885203936
8,False,log10_retention_tau_s,0.8673726375688,0.917171815905726
9,False,hysteresis_window_V,0.8958513036771348,0.08194148781540891
9,False,log10_on_off_ratio,0.9336320390664227,0.09202125318533998
9,False,log10_retention_tau_s,0.6140629420956609,1.8719878293893757
42,True,hysteresis_window_V,0.9251205442373635,0.08142156588944015
42,True,log10_on_off_ratio,0.9756216216697362,0.06547559609134257
42,True,log10_retention_tau_s,0.8152772045287703,1.1039950243329801
